Log file created at  2020-11-24 14:23:37
Run script: main_Meta_Bayes.py
Parameters:
Namespace(K_Shot_MetaTest=100, K_Shot_MetaTrain=100, N_Way=5, batch_size=128, chars_split_type='random', complexity_type='PAC_Bayes_variational_role', data_path='/home/tianyliu/PycharmProjects/Meta_Learning_Paper_Code/MAML_FirstVersion_Modify_B/ML_data_sets', data_source='MNIST', data_transform='Shuffled_Pixels', limit_train_samples_in_test_tasks=0, load_model_path='', loss_type='CrossEntropy', lr=0.001, meta_batch_size=16, mode='MetaTrain', model_name='FcNet3', n_inner_steps=50, n_meta_test_epochs=20, n_meta_train_chars=1200, n_meta_train_classes=500, n_meta_train_epochs=50, n_pixels_shuffles=200, n_test_tasks=20, n_train_tasks=10, result_dir='saved/ShuffledPixels200_TasksN/10', run_name='ShuffledPixels200_TasksN/10', seed=1, test_batch_size=128)
--------------------------------------------------
--- Generating 10 training-tasks
Stochastic-FcNet3
---- Meta-Training set: 10 tasks
(31.0%)	Epoch: 15 	 Batch: 150 	 Objective: 0.9695 	  Acc: 0.987	 Empiric-Loss: 0.04521	 Task-Comp. 0.144	 Meta-Comp.: 0.7803
(31.4%)	Epoch: 15 	 Batch: 200 	 Objective: 0.9516 	  Acc: 0.987	 Empiric-Loss: 0.03481	 Task-Comp. 0.1374	 Meta-Comp.: 0.7794
(31.7%)	Epoch: 15 	 Batch: 250 	 Objective: 0.9471 	  Acc: 0.988	 Empiric-Loss: 0.03287	 Task-Comp. 0.1358	 Meta-Comp.: 0.7784
(32.0%)	Epoch: 16 	 Batch: 0 	 Objective: 0.9454 	  Acc: 0.989	 Empiric-Loss: 0.03216	 Task-Comp. 0.1355	 Meta-Comp.: 0.7777
(32.3%)	Epoch: 16 	 Batch: 50 	 Objective: 0.9269 	  Acc: 0.991	 Empiric-Loss: 0.0249	 Task-Comp. 0.1253	 Meta-Comp.: 0.7767
(32.7%)	Epoch: 16 	 Batch: 100 	 Objective: 0.9364 	  Acc: 0.988	 Empiric-Loss: 0.03138	 Task-Comp. 0.1291	 Meta-Comp.: 0.7758
(33.0%)	Epoch: 16 	 Batch: 150 	 Objective: 0.9488 	  Acc: 0.988	 Empiric-Loss: 0.04257	 Task-Comp. 0.1313	 Meta-Comp.: 0.7749
(33.4%)	Epoch: 16 	 Batch: 200 	 Objective: 0.9501 	  Acc: 0.989	 Empiric-Loss: 0.04373	 Task-Comp. 0.1323	 Meta-Comp.: 0.7741
(33.7%)	Epoch: 16 	 Batch: 250 	 Objective: 0.9257 	  Acc: 0.99	 Empiric-Loss: 0.02816	 Task-Comp. 0.1243	 Meta-Comp.: 0.7732
(34.0%)	Epoch: 17 	 Batch: 0 	 Objective: 0.9539 	  Acc: 0.981	 Empiric-Loss: 0.04623	 Task-Comp. 0.1353	 Meta-Comp.: 0.7724
(34.3%)	Epoch: 17 	 Batch: 50 	 Objective: 0.929 	  Acc: 0.987	 Empiric-Loss: 0.03487	 Task-Comp. 0.1226	 Meta-Comp.: 0.7715
